"No"	"Study_ID"	"Sample_No"	"Sample_NoR"	"Reference"	"Publication_Year"	"Publication_Type"	"Design_for_Effect_Size"	"Effect_Size_Design_Code"	"Study_Design_Code"	"Experiment_Dummy"	"PrePost_within_Experiment_Dummy"	"Treatment_PrePost_Dummy"	"Control_PrePost_Dummy"	"Control_Random_Assignment_Dummy"	"Pharmacologic_vs._Psychosocial_intervention"	"Intervention_Type_Code"	"Clinical_vs._Nonclinical"	"Sample_Type_Code"	"Intervention_Type"	"Intervention_Type_recode"	"Ongoing_Patient_Dummy"	"Pharmacological_Intervention_Dummy"	"CognitiveBehavioral_Therapy_Dummy"	"SupportiveHumanistic_Therapy_Dummy"	"Psychoanalytic_Therapy_Dummy"	"Hospitalization_NOS_Dummy"	"Mixed_Interventionn_Dummy"	"Other_Dummy"	"Client_mean_age"	"Sample_size"	"Male_N"	"Female_N"	"FemaleP"	"Overall_N"	"Treatment_N"	"Control_N"	"Full_Sample_Dummy"	"Longitudinal_Study_Dummy"	"Full_with_different_Followup_length"	"ExperimentControl_PrePost_Subsample_different_length_not_included"	"Subsample_responders"	"Subsample_nonresponders"	"Notes_on_Sample"	"Duration_of_intervention_weeks"	"Duration_of_Intervention"	"Followup_time"	"Followup_time_code"	"Long_term_followup"	"Personality_measure_used"	"Personality_domain_assessed"	"Direction"	"Direction_sign"	"N"	"E"	"O"	"A"	"C"	"Total_Scale"	"Client_type"	"Disorder_type"	"Disorder_Type_code"	"depression_dummy"	"anxiety_dummy"	"personaliity_disorder_dummy"	"eating_disorder_dummy"	"substance_use_dummy"	"mixed_disorders_dummy"	"other_dummy"	"Pretest_Control_Mean"	"Pretest_SD"	"Posttest_Treatment_Mean"	"Posttest_SD"	"Effect_Size_Cohens_d"	"Effect_Size_correct_direction"	"Effect_Size_recomputed"	"Effect_Size_recomputed_correct_direction"	"pvalue"	"Reliability_of_Criterion"	"Sample_SD_of_criterion"	"Population_SD_of_criterion"	"d_to_r"	"corrected_r"	"Corrected_Effect_Size_d"	"Notes"
"361"	361	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"immediate after"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Novelty seeking"	"+"	1	0	0	0	0	1	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"15.6"	"5.0999999999999996"	"16.8"	"5.7"	0.235294117647059	0.235294117647059	0.235294117647059	0.235294117647059	NA	NA	5.40832691319598	NA	0.116841247567397	NA	0.235294117647059	NA
"362"	362	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"immediate after"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Harm avoidance"	"-"	-1	1	1	0	0	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"26.7"	"4.8"	"25"	"5.2"	-0.354166666666667	0.354166666666667	-0.354166666666667	0.354166666666667	NA	NA	5.00399840127872	NA	0.174370438933031	NA	0.354166666666667	NA
"363"	363	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"immediate after"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Reward dependence"	"+"	1	0	0	0	1	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"15.6"	"3.6"	"15.4"	"3"	-0.0555555555555554	-0.0555555555555554	-0.0555555555555554	-0.0555555555555554	NA	NA	3.31360830515618	NA	-0.0277670672403532	NA	-0.0555555555555554	NA
"364"	364	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"immediate after"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Persistence"	"+"	1	0	1	0	0	1	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"6.1"	"2"	"5.7"	"1.9"	-0.2	-0.2	-0.2	-0.2	NA	NA	1.95064092031312	NA	-0.0995037190209988	NA	-0.2	NA
"365"	365	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"immediate after"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Self-directedness"	"+"	1	1	0	0	0	1	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"21.1"	"7"	"23.1"	"8.6"	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	NA	NA	7.84091831356506	NA	0.141421356237309	NA	0.285714285714286	NA
"366"	366	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"immediate after"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Cooperativeness"	"+"	1	0	0	0	1	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"34.9"	"4.9000000000000004"	"34.700000000000003"	"5.3"	-0.0408163265306114	-0.0408163265306114	-0.0408163265306114	-0.0408163265306114	NA	NA	5.10392006206994	NA	-0.0204039146625189	NA	-0.0408163265306114	NA
"367"	367	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"immediate after"	0	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Self-transcendence"	"+"	1	0	0	0	0	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"9.3000000000000007"	"4.5999999999999996"	"7.9"	"4.5999999999999996"	-0.304347826086957	-0.304347826086957	-0.304347826086957	-0.304347826086957	NA	NA	4.6	NA	-0.150441996986463	NA	-0.304347826086957	NA
"368"	368	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"1 year after the start of treatment"	1	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Novelty seeking"	"+"	1	0	0	0	0	1	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"15.6"	"5.0999999999999996"	"17.5"	"4.9000000000000004"	0.372549019607843	0.372549019607843	0.372549019607843	0.372549019607843	NA	NA	5.00099990001999	NA	0.183124555643701	NA	0.372549019607843	NA
"369"	369	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"1 year after the start of treatment"	1	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Harm avoidance"	"-"	-1	1	1	0	0	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"26.7"	"4.8"	"25.7"	"4.5"	-0.208333333333333	0.208333333333333	-0.208333333333333	0.208333333333333	NA	NA	4.65241872578125	NA	0.103606084259456	NA	0.208333333333333	NA
"370"	370	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"1 year after the start of treatment"	1	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Reward dependence"	"+"	1	0	0	0	1	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"15.6"	"3.6"	"16"	"2.5"	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	NA	NA	3.09919344346235	NA	0.055470019622523	NA	0.111111111111111	NA
"371"	371	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"1 year after the start of treatment"	1	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Persistence"	"+"	1	0	1	0	0	1	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"6.1"	"2"	"5.4"	"1.9"	-0.35	-0.35	-0.35	-0.35	NA	NA	1.95064092031312	NA	-0.172380331752248	NA	-0.35	NA
"372"	372	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"1 year after the start of treatment"	1	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Self-directedness"	"+"	1	1	0	0	0	1	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"21.1"	"7"	"22.1"	"9"	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	NA	NA	8.06225774829855	NA	0.0712470499879096	NA	0.142857142857143	NA
"373"	373	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"1 year after the start of treatment"	1	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Cooperativeness"	"+"	1	0	0	0	1	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"34.9"	"4.9000000000000004"	"35.200000000000003"	"5.4"	0.0612244897959192	0.0612244897959192	0.0612244897959192	0.0612244897959192	NA	NA	5.15606439059871	NA	0.0305979114578438	NA	0.0612244897959192	NA
"374"	374	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	1	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"1 year after the start of treatment"	1	0	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Self-transcendence"	"+"	1	0	0	0	0	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"9.3000000000000007"	"4.5999999999999996"	"8.4"	"5.0999999999999996"	-0.195652173913044	-0.195652173913044	-0.195652173913044	-0.195652173913044	NA	NA	4.85643902463523	NA	-0.0973613250653993	NA	-0.195652173913044	NA
"375"	375	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	0	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"2.5 years after the start of treatment"	3	1	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Novelty seeking"	"+"	1	0	0	0	0	1	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"15.6"	"5.0999999999999996"	"16.5"	"5.3"	0.176470588235294	0.176470588235294	0.176470588235294	0.176470588235294	NA	NA	5.20096144957834	NA	0.0878938102963572	NA	0.176470588235294	NA
"376"	376	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	0	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"2.5 years after the start of treatment"	3	1	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Harm avoidance"	"-"	-1	1	1	0	0	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"26.7"	"4.8"	"26.1"	"4.8"	-0.125	0.125	-0.125	0.125	NA	NA	4.8	NA	0.0623782861551803	NA	0.125	NA
"377"	377	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	0	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"2.5 years after the start of treatment"	3	1	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Reward dependence"	"+"	1	0	0	0	1	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"15.6"	"3.6"	"16.3"	"3.1"	0.194444444444445	0.194444444444445	0.194444444444445	0.194444444444445	NA	NA	3.35931540644816	NA	0.096765974060652	NA	0.194444444444445	NA
"378"	378	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	0	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"2.5 years after the start of treatment"	3	1	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Persistence"	"+"	1	0	1	0	0	1	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"6.1"	"2"	"5.2"	"1.8"	-0.45	-0.45	-0.45	-0.45	NA	NA	1.90262975904404	NA	-0.219512195121951	NA	-0.45	NA
"379"	379	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	0	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"2.5 years after the start of treatment"	3	1	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Self-directedness"	"+"	1	1	0	0	0	1	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"21.1"	"7"	"22.3"	"9.1999999999999993"	0.171428571428571	0.171428571428571	0.171428571428571	0.171428571428571	NA	NA	8.17435012707432	NA	0.0854011413464357	NA	0.171428571428571	NA
"380"	380	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	0	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"2.5 years after the start of treatment"	3	1	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Cooperativeness"	"+"	1	0	0	0	1	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"34.9"	"4.9000000000000004"	"33.799999999999997"	"6.6"	-0.224489795918368	-0.224489795918368	-0.224489795918368	-0.224489795918368	NA	NA	5.81248655912424	NA	-0.111544427843947	NA	-0.224489795918368	NA
"381"	381	24	51	51	"Bloks, Hoek, Callewaert, Furth (2004)"	2004	"journal article"	"pre-post test (a normal comparison group is available)"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"clinical"	2	"cognitive; behavioral"	"mixed"	0	0	0	0	0	0	1	0	"27.5"	"ED diagnostic groups: 35 with ANR, 37 with ANB/P, 47 with BN, 27 with EDNOS; 2.5 years after the start of treatment: 50 Recovered, 70 Partial Remission, 26 Full Syndrome; 232 in healthy control"	"0"	"all female"	100	26	26	26	0	1	0	0	0	1	"Patients with Full Syndrome 2.5 years after the start of treatment"	"32 weeks"	NA	"2.5 years after the start of treatment"	3	1	"Temperament and Character Inventory (TCI; Cloninger et al., 1993)"	"Self-transcendence"	"+"	1	0	0	0	0	0	0	"inpatients, patients in day treatment"	"Eating Disorder"	4	0	0	0	1	0	0	0	"9.3000000000000007"	"4.5999999999999996"	"7.1"	"3.8"	-0.478260869565218	-0.478260869565218	-0.478260869565218	-0.478260869565218	NA	NA	4.2190046219458	NA	-0.232573213221708	NA	-0.478260869565218	NA
"1"	1	1	1	1	"Blonigen, Timko, Moos, & Moos (2009)"	2009	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"alcoholics anonymous or professional treatment for drinking"	"professional treatmnt for substance use"	0	0	0	0	0	0	1	0	"34.700000000000003"	"345"	"165"	"180"	52.1739130434783	345	345	345	0	1	1	0	0	0	"Overall"	"28.3"	28.3	"1 year"	3	1	"Differential Personality Inventory (Jackson and Messick, 1986)"	"Impulsivity"	"-"	-1	0	0	0	0	1	0	"outpatients"	"AUD"	5	0	0	0	0	1	0	0	"50"	"10"	"46.7"	"9.1999999999999993"	-0.38	0.38	-0.33	0.33	"<0.01"	"0.73"	9.2	NA	0.18666064582327	0.218469761235262	0.447755633483775	NA
"2"	2	1	2	2	"Blonigen, Timko, Moos, & Moos (2009)"	2009	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"alcoholics anonymous or professional treatment for drinking"	"professional treatmnt for substance use"	0	0	0	0	0	0	1	0	"34.700000000000003"	"165"	"165"	"0"	0	165	165	165	0	1	0	0	0	0	"Male subsample"	"28.3"	28.3	"1 year"	3	1	"Differential Personality Inventory (Jackson and Messick, 1986)"	"Impulsivity"	"-"	-1	0	0	0	0	1	0	"outpatients"	"AUD"	5	0	0	0	0	1	0	0	"49"	"9.6999999999999993"	"46.5"	"9.1"	-0.27	0.27	-0.257731958762887	0.257731958762887	"<0.01"	"0.73"	9.1	NA	0.13378637625248	0.156585109558035	0.317081588862597	NA
"3"	3	1	3	3	"Blonigen, Timko, Moos, & Moos (2009)"	2009	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"alcoholics anonymous or professional treatment for drinking"	"professional treatmnt for substance use"	0	0	0	0	0	0	1	0	"34.700000000000003"	"180"	"0"	"180"	100	180	180	180	0	1	0	0	0	0	"Female subsample"	"28.3"	28.3	"1 year"	3	1	"Differential Personality Inventory (Jackson and Messick, 1986)"	"Impulsivity"	"-"	-1	0	0	0	0	1	0	"outpatients"	"AUD"	5	0	0	0	0	1	0	0	"51.1"	"10.199999999999999"	"46.9"	"9.1999999999999993"	-0.49	0.49	-0.411764705882353	0.411764705882353	"<0.01"	"0.73"	9.2	NA	0.237962230135701	0.278513724044321	0.579975785369064	NA
"4"	4	1	1	1	"Blonigen, Timko, Moos, & Moos (2009)"	2009	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"alcoholics anonymous or professional treatment for drinking"	"professional treatmnt for substance use"	0	0	0	0	0	0	1	0	"34.700000000000003"	"345"	"165"	"180"	52.1739130434783	345	345	345	1	1	1	0	0	0	"Overall"	"143.80000000000001"	143.8	"16 year"	4	1	"Differential Personality Inventory (Jackson and Messick, 1986)"	"Impulsivity"	"-"	-1	0	0	0	0	1	0	"outpatients"	"AUD"	5	0	0	0	0	1	0	0	"50"	"10"	"44.4"	"9.3000000000000007"	-0.6	0.6	-0.56	0.56	"<0.01"	"0.73"	9.3	NA	0.287347885566345	0.336315261710675	0.714235104180837	NA
"5"	5	1	2	2	"Blonigen, Timko, Moos, & Moos (2009)"	2009	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"alcoholics anonymous or professional treatment for drinking"	"professional treatmnt for substance use"	0	0	0	0	0	0	1	0	"34.700000000000003"	"165"	"165"	"0"	0	165	165	165	0	1	0	0	0	0	"Male subsample"	"143.80000000000001"	143.8	"16 year"	4	1	"Differential Personality Inventory (Jackson and Messick, 1986)"	"Impulsivity"	"-"	-1	0	0	0	0	1	0	"outpatients"	"AUD"	5	0	0	0	0	1	0	0	"49"	"9.6999999999999993"	"43.9"	"9.1"	-0.56	0.56	-0.525773195876289	0.525773195876289	"<0.01"	"0.73"	9.1	NA	0.269629925519971	0.315577958012646	0.665145059012121	NA
